country,city,geo_type,date,driving_waze
United States,San Diego,city,2021-01-22,-63.0
United States,San Diego,city,2021-01-23,-52.0
United States,San Diego,city,2021-01-24,-53.0
United States,San Diego,city,2021-01-25,-50.0
United States,San Diego,city,2021-01-26,-60.0
United States,San Diego,city,2021-01-27,-56.99999999999999
United States,San Diego,city,2021-01-28,-57.99999999999999
United States,San Diego,city,2021-01-29,-59.0
United States,San Diego,city,2021-01-30,-48.0
United States,San Diego,city,2021-01-31,-45.0
United States,San Diego,city,2021-02-01,-42.0
United States,San Diego,city,2021-02-02,-55.00000000000001
United States,San Diego,city,2021-02-03,-54.0
United States,San Diego,city,2021-02-04,-56.99999999999999
United States,San Diego,city,2021-02-05,-54.0
United States,San Diego,city,2021-02-06,-39.0
United States,San Diego,city,2021-02-07,-43.0
United States,San Diego,city,2021-02-08,-52.0
United States,San Diego,city,2021-02-09,-53.0
United States,San Diego,city,2021-02-10,-51.0
United States,San Diego,city,2021-02-11,-52.0
United States,San Diego,city,2021-02-12,-49.0
United States,San Diego,city,2021-02-13,-36.0
United States,San Diego,city,2021-02-14,-26.0
United States,San Diego,city,2021-02-15,-39.0
United States,San Diego,city,2021-02-16,-47.0
United States,San Diego,city,2021-02-17,-53.0
United States,San Diego,city,2021-02-18,-53.0
United States,San Diego,city,2021-02-19,-54.0
United States,San Diego,city,2021-02-20,-43.0
United States,San Diego,city,2021-02-21,-40.0
United States,San Diego,city,2021-02-22,-44.0
United States,San Diego,city,2021-02-23,-53.0
United States,San Diego,city,2021-02-24,-51.0
United States,San Diego,city,2021-02-25,-52.0
United States,San Diego,city,2021-02-26,-51.0
United States,San Diego,city,2021-02-27,-37.0
United States,San Diego,city,2021-02-28,-37.0
United States,San Diego,city,2021-03-01,-43.0
United States,San Diego,city,2021-03-02,-53.0
United States,San Diego,city,2021-03-03,-51.0
United States,San Diego,city,2021-03-04,-48.0
United States,San Diego,city,2021-03-05,-46.0
United States,San Diego,city,2021-03-06,-33.0
United States,San Diego,city,2021-03-07,-33.0
United States,San Diego,city,2021-03-08,-40.0
United States,San Diego,city,2021-03-09,-47.0
United States,San Diego,city,2021-03-10,-51.0
United States,San Diego,city,2021-03-11,-46.0
United States,San Diego,city,2021-03-12,-47.0
United States,San Diego,city,2021-03-13,-36.0
United States,San Francisco,city,2020-03-01,-6.0
United States,San Francisco,city,2020-03-02,8.0
United States,San Francisco,city,2020-03-03,-7.000000000000001
United States,San Francisco,city,2020-03-04,-2.0
United States,San Francisco,city,2020-03-05,-1.0
United States,San Francisco,city,2020-03-06,-4.0
United States,San Francisco,city,2020-03-07,-16.0
United States,San Francisco,city,2020-03-08,-12.0
United States,San Francisco,city,2020-03-09,-8.0
United States,San Francisco,city,2020-03-10,-10.0
United States,San Francisco,city,2020-03-11,-14.000000000000002
United States,San Francisco,city,2020-03-12,-21.0
United States,San Francisco,city,2020-03-13,-28.999999999999996
United States,San Francisco,city,2020-03-14,-48.0
United States,San Francisco,city,2020-03-15,-50.0
United States,San Francisco,city,2020-03-16,-42.0
United States,San Francisco,city,2020-03-17,-66.0
United States,San Francisco,city,2020-03-18,-69.0
United States,San Francisco,city,2020-03-19,-67.0
United States,San Francisco,city,2020-03-20,-74.0
United States,San Francisco,city,2020-03-21,-75.0
United States,San Francisco,city,2020-03-22,-77.0
United States,San Francisco,city,2020-03-23,-71.0
United States,San Francisco,city,2020-03-24,-75.0
United States,San Francisco,city,2020-03-25,-78.0
United States,San Francisco,city,2020-03-26,-75.0
United States,San Francisco,city,2020-03-27,-75.0
United States,San Francisco,city,2020-03-28,-78.0
United States,San Francisco,city,2020-03-29,-80.0
United States,San Francisco,city,2020-03-30,-72.0
United States,San Francisco,city,2020-03-31,-76.0
United States,San Francisco,city,2020-04-01,-73.0
